extracted_term,hpo_term,hpo_id,negated
foot deformities including pes cavus and hammertoes,pes cavus,HP:0001761,False
foot deformities including pes cavus and hammertoes,hammertoes,HP:0001765,False
foot deformities such as hammertoes,foot deformities,HP:0001760,False
foot deformities such as hammertoes,hammertoes,HP:0001765,False
foot deformities such as pes cavus and hammertoes,foot deformities,HP:0001760,False
foot deformities such as pes cavus and hammertoes,pes cavus,HP:0001761,False
foot deformities such as pes cavus and hammertoes,hammertoes,HP:0001765,False
foot deformities such as pes cavus or claw toes,foot deformities,HP:0001760,False
foot deformities such as pes cavus or claw toes,pes cavus,HP:0001761,False
foot deformity,foot deformity,HP:0001760,False
foot dragging,None detected,None,False
foot drop,foot drop,HP:0009027,False
foot dystonia,dystonia,HP:0001332,False
foot eversion,None detected,None,False
foot or ankle deformities,None detected,None,False
foot paroxysmal exercise induced dyskinesia,dyskinesia,HP:0100660,False
freckles,None detected,None,False
frequent falling due to lower limb weakness,lower limb weakness,HP:0007340,False
frequent falls,frequent falls,HP:0002359,False
frequent falls when walking,frequent falls,HP:0002359,False
frequent infections,frequent infections,HP:0002719,False
frequent respiratory infections,frequent respiratory infections,HP:0002205,False
frequent tripping,None detected,None,False
frontotemporal dementia,frontotemporal dementia,HP:0002145,False
gait abnormalities,gait abnormalities,HP:0001288,False
gait abnormality,None detected,None,False
gait and balance problems,None detected,None,False
gait and postural abnormalities,None detected,None,False
gait ataxia,gait ataxia,HP:0002066,False
gait difficulties,gait difficulties,HP:0001288,False
gait disorder with falls,falls,HP:0002527,False
gait disturbance,gait disturbance,HP:0001288,False
gait disturbances,gait disturbances,HP:0001288,False
gait disturbances due to cerebellar ataxia,gait disturbances,HP:0001288,False
gait disturbances due to cerebellar ataxia,cerebellar ataxia,HP:0001251,False
gait impairment,None detected,None,False
gait instability,gait instability,HP:0002317,False
gastroesophageal reflux,gastroesophageal reflux,HP:0002020,False
gastrointestinal dysfunction,None detected,None,False
gastrointestinal symptoms,None detected,None,False
gaze evoked horizontal nystagmus,horizontal nystagmus,HP:0000666,False
gaze evoked nystagmus,nystagmus,HP:0000639,False
gaze fixation instability,None detected,None,False
gaze palsy,None detected,None,False
gaze paretic nystagmus,nystagmus,HP:0000639,False
general cognitive decline,cognitive decline,HP:0001268,False
generalized areflexia,areflexia,HP:0001284,False
generalized convulsive seizures,seizures,HP:0001250,False
generalized dystonia,generalized dystonia,HP:0007325,False
generalized epilepsy,epilepsy,HP:0001250,False
generalized epileptic seizures,seizures,HP:0001250,False
generalized fasciculations,fasciculations,HP:0002380,False
generalized hypertonia,hypertonia,HP:0001276,False
generalized hypotonia,generalized hypotonia,HP:0001290,False
generalized hypotonia at birth,generalized hypotonia,HP:0001290,False
generalized motor seizures,seizures,HP:0001250,False
generalized muscle weakness,generalized muscle weakness,HP:0003324,False
generalized seizure,seizure,HP:0001250,False
generalized seizures,generalized seizures,HP:0002197,False
generalized tonic clonic seizures,generalized tonic clonic seizures,HP:0002069,False
generalized wasting,None detected,None,False
genu recurvatum,genu recurvatum,HP:0002816,False
glaucoma,glaucoma,HP:0000501,False
global developmental delay,global developmental delay,HP:0001263,False
global developmental stagnation,developmental stagnation,HP:0007281,False
glossoptosis,glossoptosis,HP:0000162,False
Gowers sign,gowers sign,HP:0003391,False
grimacing,None detected,None,False
gross motor delay,gross motor delay,HP:0002194,False
growth retardation,growth retardation,HP:0001510,False
gum hypertrophy,gum hypertrophy,HP:0000212,False
hallucinations,hallucinations,HP:0000738,False
hammer toes,None detected,None,False
hammertoes,hammertoes,HP:0001765,False
hand clapping,None detected,None,False
hand deformity,None detected,None,False
hand dystonia,dystonia,HP:0001332,False
hand muscle weakness,hand muscle weakness,HP:0030237,False
hand muscle weakness and atrophy,hand muscle weakness,HP:0030237,False
hand tremor,hand tremor,HP:0002378,False
hand weakness,None detected,None,False
handwriting difficulties,None detected,None,False
head and trunk titubation,titubation,HP:0030187,False
head banging,None detected,None,False
head lag,None detected,None,False
head nodding,None detected,None,False
head shaking,None detected,None,False
head titubation,head titubation,HP:0002599,False
head tremor,head tremor,HP:0002346,False
headache,headache,HP:0002315,False
hearing impairment,hearing impairment,HP:0000365,False
hearing loss,hearing loss,HP:0000365,False
high arched feet,None detected,None,False
high arched palate,high arched palate,HP:0002705,False
high arches,None detected,None,False
high foot arches,None detected,None,False
high frequency low amplitude tremor of the hands,tremor,HP:0001337,False
high frequency small amplitude tremor in both hands,tremor,HP:0001337,False
high palate,high palate,HP:0000218,False
high pitched voice,high pitched voice,HP:0001620,False
hip joint instability,joint instability,HP:0001388,False
hirsutism,hirsutism,HP:0001007,False
hoarse voice,hoarse voice,HP:0001609,False
hobby horse gait,None detected,None,False
hollowed cheeks,None detected,None,False
horizontal and vertical gaze evoked nystagmus,nystagmus,HP:0000639,False
horizontal gaze evoked nystagmus,nystagmus,HP:0000639,False
horizontal gaze limitation,None detected,None,False
horizontal gaze nystagmus,nystagmus,HP:0000639,False
horizontal nystagmus,horizontal nystagmus,HP:0000666,False
hyperactive deep tendon reflexes in the lower limbs,hyperactive deep tendon reflexes,HP:0006801,False
hyperactive reflexes,None detected,None,False
hyperactivity,hyperactivity,HP:0000752,False
hyperextensibility of the wrists and ankles,None detected,None,False
hyperextension of the knees and elbows,None detected,None,False
hyperhidrosis,hyperhidrosis,HP:0000975,False
hyperlordotic spine,None detected,None,False
hypermetric saccades,hypermetric saccades,HP:0007338,False
hypermetropia,hypermetropia,HP:0000540,False
hypermobility,None detected,None,False
hypermotor activity,None detected,None,False
hypernasal speech,hypernasal speech,HP:0001611,False
hyperopic astigmatism,hyperopic astigmatism,HP:0000484,False
hyperreflexia,hyperreflexia,HP:0001347,False
hyperreflexia in the upper and lower limbs,hyperreflexia,HP:0001347,False
hyperreflexia in upper and lower limbs,hyperreflexia,HP:0001347,False
hyperreflexia of the knee,hyperreflexia,HP:0001347,False
hyperreflexia of the lower limbs,hyperreflexia,HP:0001347,False
hyperreflexia of the upper and lower limbs,hyperreflexia,HP:0001347,False
hyperreflexia of the upper limbs,hyperreflexia,HP:0001347,False
hyperreflexia with extensor plantar responses,hyperreflexia,HP:0001347,False
hyperreflexia with extensor plantar responses,extensor plantar responses,HP:0003487,False
hypertelorism,hypertelorism,HP:0000316,False
hypertonia,hypertonia,HP:0001276,False
hypertonic urinary bladder disturbances,None detected,None,False
hypertonicity,hypertonicity,HP:0001276,False
hypertrichosis,hypertrichosis,HP:0000998,False
hypertrophic muscles,hypertrophic muscles,HP:0003712,False
hypertrophy of calf muscles,None detected,None,False
hyperventilation,hyperventilation,HP:0002883,False
hypo or areflexia,areflexia,HP:0001284,False
hypoactive deep tendon reflexes,None detected,None,False
hypoactive reflexes,None detected,None,False
hypoesthesia of the lower limbs,hypoesthesia,HP:0003474,False
hypokinesia,hypokinesia,HP:0002375,False
hypometric ocular saccades,None detected,None,False
hypometric saccades,hypometric saccades,HP:0000571,False
hypomielination of the spinal cord,None detected,None,False
hypomimia,hypomimia,HP:0000338,False
hypomimic face,hypomimic face,HP:0000338,False
hypomotor seizures,seizures,HP:0001250,False
hypophonia,hypophonia,HP:0001621,False
hyporeflexia,hyporeflexia,HP:0001265,False
hyporeflexia of the lower limbs,hyporeflexia of the lower limbs,HP:0002600,False
hyporeflexia of the upper limbs,hyporeflexia,HP:0001265,False
hyporeflexia or areflexia in the lower limbs,hyporeflexia,HP:0001265,False
hyporeflexia or areflexia in the lower limbs,areflexia,HP:0001284,False
hypothyroidism,hypothyroidism,HP:0000821,False
hypotonia,hypotonia,HP:0001290,False
hypotrophy,None detected,None,False
hypotrophy of the forearm muscles,None detected,None,False
ideomotor apraxia,apraxia,HP:0002186,False
imbalance,imbalance,HP:0002172,False
impaired dexterity,None detected,None,False
impaired distal vibration sensation,impaired distal vibration sensation,HP:0006886,False
impaired dorsiflexion of the feet,None detected,None,False
impaired gait,impaired gait,HP:0001288,False
impaired intellectual development,None detected,None,False
impaired optokinetic nystagmus,nystagmus,HP:0000639,False
impaired saccades,impaired saccades,HP:0000570,False
impaired sensation,None detected,None,False
impaired sensation at the ankles,None detected,None,False
impaired sensation of all modalities predominantly affecting the lower limbs,None detected,None,False
impaired smell,None detected,None,False
impaired smooth pursuit,impaired smooth pursuit,HP:0007772,False
impaired strength distally,None detected,None,False
impaired swallowing (dysphagia),dysphagia,HP:0002015,False
impaired vibration sense in the lower legs,None detected,None,False
impaired vibratory sense in the legs,impaired vibratory sense,HP:0002495,False
impairment in vibration sense,None detected,None,False
impulse control behaviors,None detected,None,False
impulsivity,impulsivity,HP:0100710,False
inability to achieve head control,None detected,None,False
inability to communicate verbally,None detected,None,False
inability to crawl,None detected,None,False
inability to hold head up,None detected,None,False
inability to hold up the head,None detected,None,False
inability to roll over,None detected,None,False
inability to run,None detected,None,False
inability to run or climb stairs,None detected,None,False
inability to sit or walk,None detected,None,False
inability to sit unsupported,None detected,None,False
inability to speak,inability to speak,HP:0002300,False
inability to stand,None detected,None,False
inability to stand without assistance,None detected,None,False
inability to walk,inability to walk,HP:0002540,False
inability to walk independently,inability to walk,HP:0002540,False
inability to walk on heels,inability to walk,HP:0002540,False
inability to walk on the heels or tiptoes,inability to walk,HP:0002540,False
inability to walk or speak,inability to walk,HP:0002540,False
inability to walk unaided,inability to walk,HP:0002540,False
inability to walk unsupported,inability to walk,HP:0002540,False
inability to walk without aid,inability to walk,HP:0002540,False
incontinence,None detected,None,False
incoordination,incoordination,HP:0002311,False
incoordination in the arms,incoordination,HP:0002311,False
incoordination of the hands,incoordination,HP:0002311,False
increased ankle reflexes,None detected,None,False
increased deep tendon reflexes,increased deep tendon reflexes,HP:0001347,False
increased falls,falls,HP:0002527,False
increased jaw and glabellar reflexes,None detected,None,False
increased knee reflexes,None detected,None,False
increased lower limb reflexes,None detected,None,False
increased muscle tone,increased muscle tone,HP:0001276,False
increased muscle tone in lower limbs,increased muscle tone,HP:0001276,False
increased muscle tone in the lower limbs,increased muscle tone,HP:0001276,False
increased patellar reflex,None detected,None,False
increased reflexes,increased reflexes,HP:0001347,False
increased serum creatine kinase,increased serum creatine kinase,HP:0003236,False
increased startle induced falls,falls,HP:0002527,False
increased tendon reflexes,None detected,None,False
increased tone,None detected,None,False
increased tone in all 4 limbs,None detected,None,False
increased tone in the legs,None detected,None,False
increased tone in the lower limbs,None detected,None,False
increased tone in upper and lower limbs,None detected,None,False
inguinal hernias,hernias,HP:0100790,False
insidious progressive visual loss,progressive visual loss,HP:0000529,False
insomnia,insomnia,HP:0100785,False
inspiratory stridor,inspiratory stridor,HP:0005348,False
intellectual disability,intellectual disability,HP:0001249,False
intellectual impairment,intellectual impairment,HP:0100543,False
intention tremor,intention tremor,HP:0002080,False
intention tremor in hands,intention tremor,HP:0002080,False
intention tremor in the upper limbs,intention tremor,HP:0002080,False
intentional tremor,tremor,HP:0001337,False
interictal cerebellar deficits,None detected,None,False
intermittent cranial nerve involvement manifest as Bell palsy,cranial nerve involvement,HP:0001291,False
intermittent dystonic symptoms,None detected,None,False
intermittent hemidystonia,None detected,None,False
intermittent limb stiffness,None detected,None,False
intermittent myoclonic jerks,myoclonic jerks,HP:0001336,False
intractable epilepsy,epilepsy,HP:0001250,False
intractable focal occipital epilepsy,epilepsy,HP:0001250,False
intractable seizures,seizures,HP:0001250,False
involuntary choreiform movements,choreiform movements,HP:0002072,False
involuntary dystonic movements,dystonic movements,HP:0001332,False
involuntary facial twitching,twitching,HP:0010546,False
involuntary flexing and extending movements,None detected,None,False
involuntary leg jerks,None detected,None,False
involuntary movements,involuntary movements,HP:0004305,False
involuntary movements affecting the face,involuntary movements,HP:0004305,False
involuntary movements affecting the jaw,involuntary movements,HP:0004305,False
involuntary movements affecting the tongue,involuntary movements,HP:0004305,False
involuntary movements of the legs,involuntary movements,HP:0004305,False
"involuntary movements of the limbs, trunk, and face",involuntary movements,HP:0004305,False
involuntary orobulbar spasms,None detected,None,False
"involuntary posturing of the trunk, neck, or limbs",None detected,None,False
involuntary pronation of the right arm,None detected,None,False
involuntary sustained muscle contractions,None detected,None,False
involvement of craniofacial muscles,None detected,None,False
involvement of the upper extremities,None detected,None,False
IQ less than 60,None detected,None,False
irregular vertical pursuit,None detected,None,False
irresistible desire to move the legs,None detected,None,False
irresistible desire to move the lower extremities,None detected,None,False
irritability,irritability,HP:0000737,False
isolated hand dystonic tremor,tremor,HP:0001337,False
isolated weakness of ankle dorsiflexion,None detected,None,False
jaw opening with hypersalivation,hypersalivation,HP:0003781,False
jerking head movements,jerking head movements,HP:0006961,False
jerking movements of the arms,jerking,HP:0001336,False
jerking movements of the head,jerking,HP:0001336,False
jerking movements of the legs,jerking,HP:0001336,False
jerking of the lower limbs,jerking,HP:0001336,False
jerking of the upper limbs,jerking,HP:0001336,False
jerky cervical dystonia,cervical dystonia,HP:0000473,False
jerky ocular pursuit,None detected,None,False
jerky smooth pursuit,jerky smooth pursuit,HP:0008003,False
jerky tremor predominantly affecting the upper limbs,tremor,HP:0001337,False
jittery movements,None detected,None,False
joint contractures,joint contractures,HP:0001371,False
joint pains,joint pains,HP:0002829,False
joint position sense loss,None detected,None,False
juvenile myoclonic epilepsy,epilepsy,HP:0001250,False
kinetic ataxia,ataxia,HP:0001251,False
knee contractures,knee contractures,HP:0006380,False
kyphoscoliosis,kyphoscoliosis,HP:0002751,False
kyphosis,kyphosis,HP:0002808,False
lack of deep tendon reflexes,None detected,None,False
lack of intentional movements,None detected,None,False
lack of language development,lack of language development,HP:0001344,False
lack of reflexes in the upper and lower limbs,None detected,None,False
lack of response to auditory stimuli,None detected,None,False
lack of response to tactile stimuli,None detected,None,False
lack of response to visual stimuli,None detected,None,False
lack of smooth pursuit,None detected,None,False
lack of speech,lack of speech,HP:0001344,False
lagophthalmos,None detected,None,False
language delay,language delay,HP:0000750,False
large calves,None detected,None,False
laryngeal adductor dysphonia,dysphonia,HP:0001618,False
laryngeal dysfunction,None detected,None,False
laryngeal dystonia,laryngeal dystonia,HP:0012049,False
laryngeal involvement,None detected,None,False
late onset afebrile generalized tonic clonic seizures,generalized tonic clonic seizures,HP:0002069,False
late onset cerebellar ataxia,cerebellar ataxia,HP:0001251,False
later deterioration of motor skills,None detected,None,False
learning difficulties,None detected,None,False
learning disabilities,None detected,None,False
learning disability,None detected,None,False
leg cramps,None detected,None,False
leg cramps during the day with exercise,None detected,None,False
leg pains,None detected,None,False
leg tremor,tremor,HP:0001337,False
leg weakness,leg weakness,HP:0007340,False
limb and truncal ataxia,truncal ataxia,HP:0002078,False
limb ataxia,limb ataxia,HP:0002070,False
limb contractures,limb contractures,HP:0003121,False
limb dysmetria,limb dysmetria,HP:0002406,False
limb dystonia,limb dystonia,HP:0002451,False
limb hyperreflexia,hyperreflexia,HP:0001347,False
limb hypertonia,limb hypertonia,HP:0002509,False
limb incoordination,limb incoordination,HP:0002311,False
limb muscle weakness,limb muscle weakness,HP:0003690,False
limb spasticity,spasticity,HP:0001257,False
limb tremors,tremors,HP:0001337,False
limb weakness,limb weakness,HP:0003690,False
limitation of eye movements,None detected,None,False
limited hip abduction,limited hip abduction,HP:0003184,False
limited lateral ocular movements,None detected,None,False
"limited movements of shoulders, hips, and knees",None detected,None,False
limited neck flexion,limited neck flexion,HP:0005991,False
limping gait,None detected,None,False
long toes,long toes,HP:0010511,False
lordosis,lordosis,HP:0003307,False
loss of ability to read and write,None detected,None,False
loss of ability to walk,loss of ability to walk,HP:0006957,False
loss of acquired language skills,None detected,None,False
loss of acquired motor skills,None detected,None,False
loss of acquired speech,None detected,None,False
loss of ambulation,None detected,None,False
loss of ankle reflexes,None detected,None,False
loss of consciousness,loss of consciousness,HP:0007185,False
loss of control of legs,None detected,None,False
loss of developmental milestones,loss of developmental milestones,HP:0002376,False
loss of distal joint position sense,None detected,None,False
loss of handwriting ability,None detected,None,False
loss of independent ambulation,None detected,None,False
loss of motor skills,None detected,None,False
loss of reflexes in the lower limbs,None detected,None,False
loss of sphincter control,None detected,None,False
loss of terminal digits,None detected,None,False
loss of the ability to run,None detected,None,False
loss of vibration sense,None detected,None,False
loss of vision,loss of vision,HP:0000572,False
loss or lack of independent ambulation,None detected,None,False
low alertness,None detected,None,False
low hanging columella,low hanging columella,HP:0009765,False
low set ears,low set ears,HP:0000369,False
lower bulbar palsies,bulbar palsies,HP:0001283,False
lower extremity muscle weakness,muscle weakness,HP:0001324,False
lower extremity weakness,lower extremity weakness,HP:0007340,False
lower leg weakness,leg weakness,HP:0007340,False
lower limb amyotrophy,lower limb amyotrophy,HP:0007210,False
lower limb areflexia,areflexia,HP:0001284,False
lower limb atrophy,lower limb atrophy,HP:0008944,False
lower limb contractures,limb contractures,HP:0003121,False
lower limb dystonia,limb dystonia,HP:0002451,False
lower limb hyperreflexia,lower limb hyperreflexia,HP:0002395,False
lower limb hyporeflexia,hyporeflexia,HP:0001265,False
lower limb involvement,None detected,None,False
lower limb muscle atrophy,muscle atrophy,HP:0003202,False
lower limb muscle spasticity,muscle spasticity,HP:0001257,False
lower limb muscle wasting,muscle wasting,HP:0003202,False
lower limb muscle weakness,lower limb muscle weakness,HP:0007340,False
lower limb spasticity,lower limb spasticity,HP:0002061,False
lower limb spasticity primarily affecting the hamstring and posterior tibial muscles,lower limb spasticity,HP:0002061,False
lower limb stiffness,None detected,None,False
lower limb weakness,lower limb weakness,HP:0007340,False
lumbar hyperlordosis,lumbar hyperlordosis,HP:0002938,False
lumbar lordosis,lumbar lordosis,HP:0002938,False
lumbar scoliosis,lumbar scoliosis,HP:0004626,False
macular dystrophy,macular dystrophy,HP:0007754,False
marked atrophy of the muscles in the legs,None detected,None,False
marked bilateral spasticity in the legs,spasticity,HP:0001257,False
marked distal sensory loss in all four extremities,distal sensory loss,HP:0002936,False
marked distal upper limb weakness,limb weakness,HP:0003690,False
marked distal weakness and wasting of the lower limbs,None detected,None,False
marked hyperlaxity,None detected,None,False
marked kyphosis,kyphosis,HP:0002808,False
marked muscular atrophy,muscular atrophy,HP:0003202,False
marked reduction of all sensory modalities below the elbows and knees,None detected,None,False
marked sensory abnormalities,None detected,None,False
marked short stature,short stature,HP:0004322,False
marked spasticity,spasticity,HP:0001257,False
marked weakness,None detected,None,False
markedly increased tone,None detected,None,False
mask like face,None detected,None,False
mechanical ventilation requirement,None detected,None,False
memory deficits,None detected,None,False
mental impairment,mental impairment,HP:0100543,False
mental retardation,mental retardation,HP:0001249,False
microcephaly,microcephaly,HP:0000252,False
micrognathia,micrognathia,HP:0000347,False
micrographia,None detected,None,False
mild action tremor in the upper limbs,action tremor,HP:0002345,False
mild akinesia,akinesia,HP:0002304,False
mild amyotrophy of the hands,amyotrophy,HP:0003202,False
mild ataxia,ataxia,HP:0001251,False
mild ataxia of upper and lower limbs,ataxia,HP:0001251,False
mild atrophy of intrinsic foot muscles,None detected,None,False
mild atrophy of proximal muscles,None detected,None,False
mild bladder control issues,None detected,None,False
mild bladder urgency,None detected,None,False
mild bradykinesia,bradykinesia,HP:0002067,False
mild cerebellar tremors,tremors,HP:0001337,False
mild cognitive deficits,cognitive deficits,HP:0100543,False
mild cognitive delay,cognitive delay,HP:0001263,False
mild cognitive deterioration,None detected,None,False
mild cognitive impairment,cognitive impairment,HP:0100543,False
mild distal lower limb atrophy,lower limb atrophy,HP:0008944,False
mild distal sensory impairment,distal sensory impairment,HP:0002936,False
mild distal sensory loss,distal sensory loss,HP:0002936,False
mild dysarthria,dysarthria,HP:0001260,False
mild dysmetria of the upper limbs,dysmetria,HP:0001310,False
mild dysmorphism,None detected,None,False
mild dysphagia,dysphagia,HP:0002015,False
mild facial muscle weakness,facial muscle weakness,HP:0010628,False
mild facial weakness,facial weakness,HP:0010628,False
mild gait ataxia,gait ataxia,HP:0002066,False
mild hand atrophy,None detected,None,False
mild hearing loss,hearing loss,HP:0000365,False
mild horizontal gaze evoked nystagmus,nystagmus,HP:0000639,False
mild hyperreflexia,hyperreflexia,HP:0001347,False
mild increases in muscle tone,None detected,None,False
mild increases in tone,None detected,None,False
mild intellectual disability,intellectual disability,HP:0001249,False
mild intention tremor,intention tremor,HP:0002080,False
mild kyphosis,kyphosis,HP:0002808,False
mild language delay,language delay,HP:0000750,False
mild learning difficulties,None detected,None,False
mild limb dystonia,limb dystonia,HP:0002451,False
mild limb involvement,None detected,None,False
mild lordosis,lordosis,HP:0003307,False
mild lower limb ataxia,limb ataxia,HP:0002070,False
mild memory impairment,memory impairment,HP:0002354,False
mild mental delay,None detected,None,False
mild mental retardation,mild mental retardation,HP:0001256,False
mild microcephaly,mild microcephaly,HP:0040196,False
mild motor dyspraxia,None detected,None,False
mild muscle weakness and atrophy affecting only the lower limbs,muscle weakness,HP:0001324,False
mild muscle weakness of the anterior tibial peroneal and posterior tibial muscles,muscle weakness,HP:0001324,False
mild nystagmus,nystagmus,HP:0000639,False
mild parkinsonism,parkinsonism,HP:0001300,False
mild pes cavus,pes cavus,HP:0001761,False
mild proximal contractures,contractures,HP:0001371,False
mild proximal muscle weakness,proximal muscle weakness,HP:0003701,False
mild proximal weakness,None detected,None,False
mild ptosis,ptosis,HP:0000508,False
mild pyramidal signs,pyramidal signs,HP:0007256,False
mild resting tremor,resting tremor,HP:0002322,False
mild rigidity,rigidity,HP:0002063,False
mild sensory impairment,sensory impairment,HP:0003474,False
mild sensory impairment of the distal lower legs,sensory impairment,HP:0003474,False
mild sensory loss,None detected,None,False
mild signs of sensory neuropathy,sensory neuropathy,HP:0000763,False
mild slurring of speech,None detected,None,False
mild spasticity,spasticity,HP:0001257,False
mild spasticity of the lower limbs,spasticity,HP:0001257,False
mild spasticity of the upper limbs,spasticity,HP:0001257,False
mild to moderate cognitive delay,cognitive delay,HP:0001263,False
mild to moderate cognitive impairment,cognitive impairment,HP:0100543,False
mild to moderate developmental delay,developmental delay,HP:0001263,False
mild to moderate spasticity,spasticity,HP:0001257,False
mild to moderate speech delay,speech delay,HP:0000750,False
mild unsteadiness,None detected,None,False
mild upper limb ataxia,limb ataxia,HP:0002070,False
mild upper limb cogwheel rigidity,cogwheel rigidity,HP:0002396,False
mild upper limb dysmetria,upper limb dysmetria,HP:0020036,False
mild upper limb hyperreflexia,hyperreflexia,HP:0001347,False
mild upper limb involvement,None detected,None,False
mild urinary urgency,urinary urgency,HP:0000012,False
mild weakness of the distal hand muscles,None detected,None,False
mild weakness of the proximal lower limb muscles,None detected,None,False
mildly decreased sensation of pain and vibration in the feet,pain,HP:0012531,False
mildly decreased vibration sense at the ankles,decreased vibration sense,HP:0002495,False
mildly diminished sensation for all modalities in regions distal to the ankles,None detected,None,False
mildly impaired intellectual development,None detected,None,False
mildly impaired position sense,None detected,None,False
mildly impaired smooth pursuit,impaired smooth pursuit,HP:0007772,False
mildly impaired vibration sense,None detected,None,False
mildly increased muscle tone,increased muscle tone,HP:0001276,False
mildly increased serum creatine kinase,mildly increased serum creatine kinase,HP:0008180,False
mildly reduced muscle strength in ankle dorsiflexors,None detected,None,False
mini myoclonus,myoclonus,HP:0001336,False
minimal ataxia,ataxia,HP:0001251,False
minimally reactive pupils,None detected,None,False
miosis,miosis,HP:0000616,False
mixed hearing loss pattern,mixed hearing loss,HP:0000410,False
moderate degree of amyotrophy in the lower extremities,amyotrophy,HP:0003202,False
moderate intellectual disability,intellectual disability,HP:0001249,False
moderate muscle weakness,muscle weakness,HP:0001324,False
moderate to severe cognitive deficits,cognitive deficits,HP:0100543,False
monotone speech,None detected,None,False
mood abnormalities,None detected,None,False
mood disorders,None detected,None,False
motor aphasia,motor aphasia,HP:0002427,False
motor deficits,None detected,None,False
motor delay,motor delay,HP:0001270,False
motor disturbances,None detected,None,False
motor disturbances in all limbs,None detected,None,False
motor fluctuations,None detected,None,False
motor impairment (mild to moderate),None detected,None,False
motor neuropathy,neuropathy,HP:0009830,False
motor restlessness,restlessness,HP:0000711,False
motor skills delay,None detected,None,False
multiple joint contractures,multiple joint contractures,HP:0002828,False
muscle atrophy,muscle atrophy,HP:0003202,False
muscle atrophy affecting the upper and lower limbs,muscle atrophy,HP:0003202,False
muscle atrophy of the hands and feet,muscle atrophy,HP:0003202,False
muscle atrophy of the paraspinal muscles,muscle atrophy,HP:0003202,False
muscle atrophy primarily affecting the lower limbs,muscle atrophy,HP:0003202,False
muscle cramping,None detected,None,False
muscle cramps,muscle cramps,HP:0003394,False
muscle fasciculation,muscle fasciculation,HP:0002380,False
muscle hypertonia,muscle hypertonia,HP:0001276,False
muscle hypotrophy,muscle hypotrophy,HP:0003202,False
muscle spasms,muscle spasms,HP:0002487,False
muscle stiffness,muscle stiffness,HP:0003552,False
muscle tightening typically in an extremity,None detected,None,False
muscle wasting,muscle wasting,HP:0003202,False
muscle weakness,muscle weakness,HP:0001324,False
muscle weakness and atrophy in the distal upper limbs,muscle weakness,HP:0001324,False
muscle weakness of limbs,muscle weakness,HP:0001324,False
muscular atrophy,muscular atrophy,HP:0003202,False
muscular hypertonia,hypertonia,HP:0001276,False
muscular hypertonia of the lower limbs,hypertonia,HP:0001276,False
muscular hypotonia,muscular hypotonia,HP:0001252,False
muscular pain,pain,HP:0012531,False
muscular rigidity,rigidity,HP:0002063,False
mutism,mutism,HP:0002300,False
myalgia,myalgia,HP:0003326,False
myoclonic jerks,myoclonic jerks,HP:0001336,False
myoclonic jerks affecting proximal muscles,myoclonic jerks,HP:0001336,False
myoclonic jerks affecting the upper limbs,myoclonic jerks,HP:0001336,False
myoclonic or generalized seizures,generalized seizures,HP:0002197,False
myoclonic seizures,myoclonic seizures,HP:0002123,False
myoclonus,myoclonus,HP:0001336,False
myokymia of the face,myokymia,HP:0002411,False
myokymia of the limbs,myokymia,HP:0002411,False
myokymic activity,None detected,None,False
myopathic facies,myopathic facies,HP:0002058,False
myopia,myopia,HP:0000545,False
myotonia,myotonia,HP:0002486,False
narrow based spastic gait,spastic gait,HP:0002064,False
narrow chest,narrow chest,HP:0000774,False
narrow myopathic face,myopathic face,HP:0002058,False
nasal voice,nasal voice,HP:0001611,False
nausea,nausea,HP:0002018,False
neck dystonia,dystonia,HP:0001332,False
neck muscle weakness,neck muscle weakness,HP:0000467,False
neck myoclonia,None detected,None,False
neck tremor,tremor,HP:0001337,False
neck weakness,None detected,None,False
need for assistance in walking,None detected,None,False
neonatal convulsions,None detected,None,False
neonatal hypotonia,neonatal hypotonia,HP:0001319,False
neurocognitive regression,None detected,None,False
neurogenic bladder,neurogenic bladder,HP:0000011,False
neurogenic bladder dysfunction,neurogenic bladder,HP:0000011,False
neuropathic joint degeneration,None detected,None,False
neuropathic pain,pain,HP:0012531,False
no expressive language,None detected,None,False
no head control,None detected,None,False
no movement of the big toes,None detected,None,False
no movement of the right vocal cord,None detected,None,False
no social eye contact,None detected,None,False
no speech,None detected,None,False
no spontaneous mobility,None detected,None,False
no spontaneous movement,None detected,None,False
no visual reaction to light,None detected,None,False
no voluntary movement of lower extremities below the knees,None detected,None,False
nocturnal enuresis,nocturnal enuresis,HP:0010677,False
nocturnal hypoventilation,nocturnal hypoventilation,HP:0002877,False
nocturnal insomnia,insomnia,HP:0100785,False
nocturnal muscle jerks,None detected,None,False
nocturnal secondary generalized tonic clonic seizures,secondary generalized tonic clonic seizures,HP:0007334,False
nonambulatory,None detected,None,False
nonambulatory status,None detected,None,False
nonprogressive weakness,None detected,None,False
nonspecific dysmorphic facial features,dysmorphic facial features,HP:0001999,False
nonspecific dysmorphic features such as bulbous nose and long face,bulbous nose,HP:0000414,False
nonspecific dysmorphic features such as bulbous nose and long face,long face,HP:0000276,False
nonspecific lower back pain,lower back pain,HP:0003419,False
nonstimulus sensitive myoclonic jerks affecting face,myoclonic jerks,HP:0001336,False
nonstimulus sensitive myoclonic jerks affecting hands,myoclonic jerks,HP:0001336,False
nonverbal,nonverbal,HP:0001344,False
numbness and weakness of the feet and legs,None detected,None,False
